SID000000 "Loan Confirmed"
SID003164 "button that looks like this."
SID003165 "If you want to know what the other buttons are for, move your pointer over"
SID003166 "them and look at the Menu Information Window in the top left corner of"
SID003167 "your screen."
SID003168 "When you are ready, choose a button and"
SID003169 "GET STARTED!"
SID003170 "Show this message again."
SID003171 "Enable Start-Up Message"
SID003172 "%d%%"
SID003173 "%d%%"
SID003174 "%d%%"
SID003175 "%d%%"
SID003176 "%d%%"
SID003177 "%d%%"
SID003178 "%d%%"
SID003179 "%d%%"
SID003180 "%d%%"
SID003181 "Completion"
SID003182 "%d Cash"
SID003183 "%d"
SID003184 "Commercial Staff"
SID003185 "Available %"
SID003186 "Sponsorship %"
SID003187 "Hospitality %"
SID003188 "Licensing %"
SID003189 "Rights"
SID003190 "$"
SID003191 "Fan Club %"
SID003192 "Clothing %"
SID003193 "$$"
SID003194 "Publishing %"
SID003195 "Video Games %"
SID003196 "$$$"
SID003197 "Chronometers %"
SID003198 "Cars %"
SID003199 "Demand"
SID003200 "GP Cash"
SID003201 "%"
SID003202 "Sign Deal"
SID003203 "Total"
SID003204 "Licence for %s"
SID003205 "I can confirm that the licensing deal for %s has gone through, and that we have just received the first payment."
SID003206 "Commercial Manager"
SID003207 "Licence for %s\nCash Offer:%s\n\n"
SID003208 "This licensing deal will last until the end of the season. Payment will be divided across the remaining races. Do you wish to proceed?"
SID003209 "Department"
SID003210 "From: %s"
SID003211 "Re: %s"
SID003212 "1 of 1"
SID003213 "%d of %d"
SID003214 "1 of 1"
SID003215 "Mailbox"
SID003216 "%d of %d"
SID003217 "%d of %d"
SID003218 "Message"
SID003219 "Commercial Manager"
SID003220 "Chief Designer"
SID003221 "Technical Director"
SID003222 "Chief Mechanic"
SID003223 "WARNING - You have spent more than you can afford and are now in debt. The bank has charged you %s for your unauthorised borrowing. If you end next turn in debt, you will be declared bankrupt."
SID003224 "You have run out of cash and the banks will no longer support your debt. You have been declared bankrupt! Your career as a Grand Prix Manager is over."
SID003225 "The shareholders who now control your team are no longer satisfied with your performance. You have lost ownership of your team and have been fired! Your career as a Grand Prix Manager is over."
SID003226 "Recruit Driver One"
SID003227 "Recruit Driver Two"
SID003228 "Recruit Test Driver"
SID003229 "Recruit Commercial Manager"
SID003230 "Recruit Chief Designer"
SID003231 "Recruit Technical Director"
SID003232 "Recruit Chief Mechanic"
SID003233 "If you Restart the game, you will lose any unsaved changes and be returned to the Main Menu. Do you still wish to proceed?"
SID003234 "Are you sure you want to load this Saved Game?"
SID003235 "Are you sure you want to overwrite your previous Saved Game?"
SID003236 "Are you sure you want to save the current game?"
SID003237 "Are you sure you want to delete this Saved Game?"
SID003238 "You may not sell any more shares at this time. Try again after the next race."
SID003239 "If you sell %d %% of your shares for %s, you will not be able to buy these shares back at a later date. If you sell too many shares, you may lose control of the team. Do you wish to proceed?"
SID003240 "You do not have any shares left to sell."
SID003241 "You have not set the number of shares you wish to sell."
SID003242 "You may not borrow more money until you have repaid your current Loan."
SID003243 "You may take an immediate bank loan on these terms:\nAmount: %s\nInterest rate: %d%%\nTotal repayment: %s\nNumber of repayments: 16 races\n"
SID003244 "Repayments will start after the next race. You can not make excess repayments to reduce interest. Do you wish to proceed?"
SID003245 "You can have only one Investment at a time."
SID003246 "You wish to invest money on these terms:\nAmount: %s\nInterest rate: %d%%\nTotal return: %s\nDuration of investment: 16 races\n"
SID003247 "The Investment will be debited immediately. Invested money can not be accessed, and at risk of being lost. Do you wish to proceed?"
SID003248 "You may not borrow more money until you have repaid your current Loan."
SID003249 "You may take an immediate bank loan on these terms:\nAmount: %s\nInterest rate: %d%%\nTotal repayment: %s\nNumber of repayments: 32 races\n"
SID003250 "Repayments will start after the next race. You can not make excess repayments to reduce interest. Do you wish to proceed?"
SID003251 "You can have only one Investment at a time."
SID003252 "You wish to invest money on these terms:\nAmount: %s\nInterest rate: %d%%\nTotal return: %s\nDuration of investment: 32 races\n"
SID003253 "The Investment will be debited immediately. Invested money can not be accessed, and at risk of being lost. Do you wish to proceed?"
SID003254 "You may not borrow more money until you have repaid your current Loan."
SID003255 "You may take an immediate bank loan on these terms:\nAmount: %s\nInterest rate: %d%%\nTotal repayment: %s\nNumber of repayments: 48 races\n"
SID003256 "Repayments will start after the next race. You can not make excess repayments to reduce interest. Do you wish to proceed?"
SID003257 "You can have only one Investment at a time."
SID003258 "You wish to invest money on these terms:\nAmount: %s\nInterest rate: %d%%\nTotal return: %s\nDuration of investment: 48 races\n"
SID003259 "The Investment will be debited immediately. Invested money can not be accessed, and at risk of being lost. Do you wish to proceed?"
SID003260 "If you sell your Team Sponsor slot to a Cash Sponsor, you will not be able to sign up a Team Sponsor until the Cash deal expires. Do you wish to proceed?"
SID003261 "You have already signed a deal for a %s Sponsor for %d. You can not sell this slot to a Cash Sponsor."
SID003262 "Team"
SID003263 "Do you want to make this Cash Sponsor slot available for a %s Sponsor deal? If you do, any progress in current Cash Sponsor negotiations will be lost. Do you wish to proceed?"
SID003264 "Team"
SID003265 "You have already sold this slot to a Cash Sponsor. You can not sign a deal with a %s Sponsor for %d."
SID003266 "Team"
SID003267 "Do you want to make this Cash Sponsor slot available for a %s Sponsor deal?"
SID003268 "Team"
SID003269 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003270 "Do you want to spend your TV Advantage on this deal?"
SID003271 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003272 "Do you want to spend your Success Advantage on this deal?"
SID003273 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003274 "Do you want to spend your Hospitality Advantage on this deal?"
SID003275 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003276 "Do you want to spend your TV Advantage on this deal?"
SID003277 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003278 "Do you want to spend your Success Advantage on this deal?"
SID003279 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003280 "Do you want to spend your Hospitality Advantage on this deal?"
SID003281 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003282 "Do you want to spend your TV Advantage on this deal?"
SID003283 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003284 "Do you want to spend your Success Advantage on this deal?"
SID003285 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003286 "Do you want to spend your Hospitality Advantage on this deal?"
SID003287 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003288 "Do you want to spend your TV Advantage on this deal?"
SID003289 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003290 "Do you want to spend your Success Advantage on this deal?"
SID003291 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003292 "Do you want to spend your Hospitality Advantage on this deal?"
SID003293 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003294 "Do you want to use up your TV Advantage on this deal? Doing so will help you complete the deal more quickly or on more favourable terms. "
SID003295 "However, you will not be able to use another TV advantage on this or any other deal until you have earned one. Do you wish to proceed?"
SID003296 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003297 "Do you want to spend your TV Advantage on this deal?"
SID003298 "You can not play an Advantage on this Sponsor until you have first assigned staff, to commence negotiations."
SID003299 "Do you want to spend your Hospitality Advantage on this deal?"
SID003300 "A deal with this Sponsor is worth an annual income of %s for %d year(s). Do you wish to proceed?"
SID003301 "This Customer deal is for %d year(s), at an annual cost of %s. You may be able to negotiate a lower price by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003302 "This Customer deal is for %d year(s), at an annual cost of %s. However, you can sign a Partner deal. Do you wish to proceed with the Customer deal?"
SID003303 "This Customer deal is for %d year(s), at an annual cost of %s. However, you can sign a Partner deal or a Works deal. Do you wish to proceed with the Customer deal?"
SID003304 "This Partner deal is for %d year(s), and provides engines at no cost. You may be able to negotiate bonuses by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003305 "This Partner deal is for %d year(s), and provides engines at no cost. However, you can sign a Works deal. Do you wish to proceed with the Partner deal?"
SID003306 "This Works deal is for %d year(s), and provides free engines, plus an annual payment of %s. You may be able to negotiate bonuses deal by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003307 "This Customer deal is for %d year(s), at an annual cost of %s. You may be able to negotiate a lower price by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003308 "This Customer deal is for %d year(s), at an annual cost of %s. However, you can sign a Partner deal. Do you wish to proceed with the Customer deal?"
SID003309 "This Customer deal is for %d year(s), at an annual cost of %s. However, you can sign a Partner deal or a Works deal. Do you wish to proceed with the Customer deal?"
SID003310 "This Partner deal is for %d year(s), and provides tyres at no cost. You may be able to negotiate bonuses by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003311 "This Partner deal is for %d year(s), and provides tyres at no cost. However, you can sign a Works deal. Do you wish to proceed with the Partner deal?"
SID003312 "This Works deal is for %d year(s), and provides free tyres, plus an annual payment of %s. You may be able to negotiate bonuses deal by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003313 "This Customer deal is for %d year(s), at an annual cost of %s. You may be able to negotiate a lower price by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003314 "This Customer deal is for %d year(s), at an annual cost of %s. However, you can sign a Partner deal. Do you wish to proceed with the Customer deal?"
SID003315 "This Customer deal is for %d year(s), at an annual cost of %s. However, you can sign a Partner deal or a Works deal. Do you wish to proceed with the Customer deal?"
SID003316 "This Partner deal is for %d year(s), and provides fuel at no cost. You may be able to negotiate bonuses by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003317 "This Partner deal is for %d year(s), and provides fuel at no cost. However, you can sign a Works deal. Do you wish to proceed with the Partner deal?"
SID003318 "This Works deal is for %d year(s), and provides free fuel, plus an annual payment of %s. You may be able to negotiate bonuses deal by leaving staff assigned to the deal after signing. Do you wish to proceed?"
SID003319 "Do you wish to assign your converted Team Sponsor slot to this Cash Sponsor? If you do, the deal will be for only 1 year, but the Cash Offer amount will double."
SID003320 "All your Cash Sponsor slots are gone. If you give this Sponsor your converted Team Sponsor slot, the deal will be for only 1 year but the Cash Offer amount will double."
SID003321 " If you do not, the Sponsor will end negotiations with you immediately. Do you wish to proceed with the deal?"
SID003322 "There are no Cash Sponsor slots available. You must use your converted Team Sponsor slot or the deal will be terminated. Do you wish to proceed?"
SID003323 "%s\n A deal with this Sponsor is worth an annual income of %s for %d year(s). Do you wish to proceed?"
SID003324 "A deal with this Sponsor is worth an annual income of %s for %d year(s). Do you wish to proceed?"
SID003325 "%ld"
SID003326 "%ld"
SID003327 "You must borrow a minimum of 1000"
SID003328 "Loan amount must be a multiple of 1000."
SID003329 "We are not prepared to lend you this amount. We may consider a smaller loan."
SID003330 "Your new loan balance will be %s. This amount is to be repaid in %ld instalments, with the first payment being %s.  Agreed?"
SID003331 "You must repay a minimum of 1000"
SID003332 "The bank refuses to alter your loan arrangement as after this transaction the amount remaining would be less than 1,000."
SID003333 "Your new loan balance will be %s. This amount is to be repaid in %ld instalments, with the first payment being %s. Agreed?"
SID003334 "The entire balance of %s will be repaid after this transaction. Agreed?"
SID003335 "You can not make any more changes to this department before the next race."
SID003336 "Hiring a head-hunter to find more staff For Hire will cost you at least %s. This cost is non-refundable. Do you wish to proceed?"
SID003337 "You will not be able to make any more changes to this department until after the next race. Do you wish to proceed?"
SID003338 "Any terms you have set for your unmade offer will be lost. Do you wish to proceed?"
SID003339 "You may not approach %s again, until after the next race."
SID003340 "You can make only one offer to %s before next race. Do you wish to proceed?"
SID003341 "Any terms you have set for your unmade offer will be lost. Do you wish to proceed?"
SID003342 "You may not approach %s again, until after the next race."
SID003343 "You can make only one offer to %s before next race. Do you wish to proceed?"
SID003344 "Any terms you have set for your unmade offer will be lost. Do you wish to proceed?"
SID003345 "%s: %s"
SID003346 "New"
SID003347 "Should Have"
SID003348 "New"
SID003349 "Should Have"
SID003350 "Balance"
SID003351 "Position"
SID003352 "%d"
SID003353 "Points"
SID003354 "%d"
SID003355 "%d wins"
SID003356 "%d"
SID003357 "Score"
SID003358 "Year"
SID003359 "%d"
SID003360 "Driver"
SID003361 "Role"
SID003362 "Pos"
SID003363 "Points"
SID003364 "Wins"
SID003365 "Pole"
SID003366 "-"
SID003367 "1"
SID003368 "1="
SID003369 "-"
SID003370 "-"
SID003371 "%d"
SID003372 "-"
SID003373 "%d"
SID003374 "-"
SID003375 "%d"
SID003376 "-"
SID003377 "%d"
SID003378 "-"
SID003379 "2"
SID003380 "1="
SID003381 "-"
SID003382 "-"
SID003383 "%d"
SID003384 "-"
SID003385 "%d"
SID003386 "-"
SID003387 "%d"
SID003388 "-"
SID003389 "%d"
SID003390 "-"
SID003391 "T"
SID003392 "-"
SID003393 "%d"
SID003394 "-"
SID003395 "%d"
SID003396 "-"
SID003397 "%d"
SID003398 "-"
SID003399 "%d"
SID003400 "-"
SID003401 "NEXT SEASON %d"
SID003402 "%d ROUND %d"
SID003403 "Race Day"
SID003404 "%d day"
SID003405 "%d days"
SID003406 "Race Speed"
SID003407 "Select Driver"
SID003408 "Sort By Sponsor Name"
SID003409 "Sort By Cash Level"
SID003410 "Sort By Current Team"
SID003411 "Sort By Free Year"
SID003412 "Sort By R&D Level"
SID003413 "Sort By Current Deal Type"
SID003414 "Next Offer"
SID003415 "Increase Staff"
SID003416 "Decrease Staff"
SID003417 "Back To Hospitality"
SID003418 "Sort By Race Order"
SID003419 "Sort By Glamour"
SID003420 "Previous Circuit"
SID003421 "Next Circuit"
SID003422 "Previous Sponsor"
SID003423 "Next Sponsor"
SID003424 "Previous Sponsor"
SID003425 "Next Sponsor"
SID003426 "Previous Sponsor"
SID003427 "Next Sponsor"
SID003428 "Previous Engine"
SID003429 "Next Engine"
SID003430 "Previous Sponsor"
SID003431 "Next Sponsor"
SID003432 "Previous Sponsor"
SID003433 "Next Sponsor"
SID003434 "Previous Tyre"
SID003435 "Next Tyre"
SID003436 "Previous Tyre Rating"
SID003437 "Next Tyre Rating"
SID003438 "Previous Sponsor"
SID003439 "Next Sponsor"
SID003440 "Previous Sponsor"
SID003441 "Next Sponsor"
SID003442 "Previous Sponsor"
SID003443 "Next Sponsor"
SID003444 "Previous Sponsor"
SID003445 "Next Sponsor"
SID003446 "Race Summary"
SID003447 "Race Results"
SID003448 "Retirements"
SID003449 "Fastest Laps"
SID003450 "Lap Chart"
SID003451 "Qualifying"
SID003452 "Points"
SID003453 "Circuit Map"
SID003454 "Circuit Information"
SID003455 "Sign Deal"
SID003456 "Next Offer"
SID003457 "Next Driver Position"
SID003458 "Change To Cash Slot"
SID003459 "Sign Team Deal"
SID003460 "Sign Engine Deal"
SID003461 "Sign Tyre Deal"
SID003462 "Sign Fuel Deal"
SID003463 "Sign Cash Deal"
SID003464 "View By Cash Level"
SID003465 "Choose Catering"
SID003466 "Hire Celebrities"
SID003467 "Decrease Staff"
SID003468 "Increase Staff"
SID003469 "Use TV Advantage"
SID003470 "Use Success Advantage"
SID003471 "Use Hospitality Advantage"
SID003472 "Next Deal Negotiation"
SID003473 "Increase Staff"
SID003474 "Decrease Staff"
SID003475 "Increase Staff"
SID003476 "Decrease Staff"
SID003477 "Customer Deal"
SID003478 "Partner Deal"
SID003479 "Works Deal"
SID003480 "All Sponsors"
SID003481 "%d Sponsors"
SID003482 "%d Sponsors"
SID003483 "Decline Sponsor"
SID003484 "Invite Sponsor"
SID003485 "View Circuit Glamour"
SID003486 "Previous Sponsor"
SID003487 "Next Sponsor"
SID003488 "View Sponsor Summary"
SID003489 "View %d Livery"
SID003490 "View %d Livery"
SID003491 "Increase Loan"
SID003492 "Decrease Loan"
SID003493 "Request Loan"
SID003494 "Increase Investment"
SID003495 "Decrease Investment"
SID003496 "Invest"
SID003497 "Increase Shares"
SID003498 "Decrease Shares"
SID003499 "Sell Shares"
SID003500 "Next Race Results"
SID003501 "Previous Race Results"
SID003502 "Next Laps"
SID003503 "Previous Laps"
SID003504 "Next Driver"
SID003505 "Previous Driver"
SID003506 "Previous Race"
SID003507 "Next Race"
SID003508 "View Merchandise"
SID003509 "Back To Licensing"
SID003510 "Show All Sponsors"
SID003511 "Hide Unavailable Sponsors"
SID003512 "Team Sponsor List"
SID003513 "Team Sponsor Deals"
SID003514 "Show All Sponsors"
SID003515 "Hide Unavailable Sponsors"
SID003516 "Engine Sponsor List"
SID003517 "Engine Data"
SID003518 "Engine Sponsor Deals"
SID003519 "Engine Data"
SID003520 "Engine Sponsor List"
SID003521 "Engine Sponsor List"
SID003522 "Engine Sponsor Deals"
SID003523 "Tyre Sponsor List"
SID003524 "Tyre Data"
SID003525 "Tyre Sponsor Deals"
SID003526 "Tyre Sponsor List"
SID003527 "Tyre Sponsor Deals"
SID003528 "Tyre List"
SID003529 "Show All Sponsors"
SID003530 "Hide Unavailable Sponsors"
SID003531 "Fuel Sponsor List"
SID003532 "Fuel Sponsor Deals"
SID003533 "Fuel Data"
SID003534 "Fuel Sponsor Deals"
SID003535 "Fuel Sponsor List"
SID003536 "Cash Sponsor List"
SID003537 "Show All Sponsors"
SID003538 "Hide Unavailable Sponsors"
SID003539 "Cash Sponsor Deals"
SID003540 "Hire Person"
SID003541 "Fire Person"
SID003542 "Increase Offer"
SID003543 "Decrease Offer"
SID003544 "Hide Unavailable Drivers"
SID003545 "Show All Drivers"
SID003546 "Hide Unavailable Chiefs"
SID003547 "Show All Chiefs"
SID003548 "Accept Staff Changes"
SID003549 "Cancel Staff Changes"
SID003550 "Hire Head Hunter"
SID003551 "Make Offer"
SID003552 "Back To Staff"
SID003553 "Previous Chief"
SID003554 "Next Chief"
SID003555 "Recruit Commercial Manager"
SID003556 "Recruit Chief Designer"
SID003557 "Recruit Technical Director"
SID003558 "Recruit Chief Mechanic"
SID003559 "Recruit Staff"
SID003560 "Previous Line"
SID003561 "Next Line"
SID003562 "Go To Race"
SID003563 "Load Game"
SID003564 "Save Game"
SID003565 "Delete Game"
SID003566 "Next Page"
SID003567 "Previous Page"
SID003568 "Next Driver"
SID003569 "Previous Driver"
SID003570 "Next Mailbox"
SID003571 "Previous Mailbox"
SID003572 "Next Message"
SID003573 "Previous Message"
SID003574 "Delete Message"
SID003575 "Recruit Driver One"
SID003576 "Recruit Driver Two"
SID003577 "Recruit Test Driver"
SID003578 "Previous Driver"
SID003579 "Next Driver"
SID003580 "Previous Line"
SID003581 "Next Line"
SID003582 "Increase Offer"
SID003583 "Decrease Offer"
SID003584 "Make Offer"
SID003585 "Back To Staff"
SID003586 "Sign Licensing Deal"
SID003587 "%d of %d"
SID003588 "N/A"
SID003589 "1"
SID003590 "1="
SID003591 "2"
SID003592 "T"
SID003593 "-"
SID003594 "-"
SID003595 "%s"
SID003596 "%s"
SID003597 "%s"
SID003598 "%d"
SID003599 "%d"
SID003600 "%d"
SID003601 "%d"
SID003602 "%d"
SID003603 "%d"
SID003604 "%d"
SID003605 "%d"
SID003606 "%d"
SID003607 "%d"
SID003608 "%d"
SID003609 "%d"
SID003610 "%d"
SID003611 "%d"
SID003612 "%d"
SID003613 "%d"
SID003614 "%d"
SID003615 "%d"
SID003616 "Cost"
SID003617 "Morale"
SID003618 "Effort"
SID003619 "%d%%"
SID003620 "Chief"
SID003621 "None"
SID003622 "Ability"
SID003623 "Age"
SID003624 "-"
SID003625 "%d"
SID003626 "Salary"
SID003627 "Royalty %"
SID003628 "-"
SID003629 "%ld%%"
SID003630 "Race Bonus"
SID003631 "Championship"
SID003632 "Bonus"
SID003633 "Driver Loyalty"
SID003634 "-"
SID003635 "Final Season"
SID003636 "-"
SID003637 "%d"
SID003638 "Replacement"
SID003639 "-"
SID003640 "-"
SID003641 "Ability"
SID003642 "Quality"
SID003643 "Standard"
SID003644 "Stars"
SID003645 "Resigned"
SID003646 "Salary"
SID003647 "%d"
SID003648 "%d"
SID003649 "%d"
SID003650 "%d"
SID003651 "%d"
SID003652 "Total"
SID003653 "%d"
SID003654 "%d"
SID003655 "%d"
SID003656 "%d"
SID003657 "%d"
SID003658 "Hire & Fire %s"
SID003659 "Standard"
SID003660 "Stars"
SID003661 "Total"
SID003662 "For Hire"
SID003663 "Redundancy"
SID003664 "Salary"
SID003665 "Sub Total"
SID003666 "Quality"
SID003667 "%d"
SID003668 "%d"
SID003669 "%d"
SID003670 "%d"
SID003671 "Total"
SID003672 "%d"
SID003673 "%d"
SID003674 "%d"
SID003675 "%d"
SID003676 "Work Space"
SID003677 "Capacity"
SID003678 "%d"
SID003679 "Staff"
SID003680 "%d"
SID003681 "Room"
SID003682 "%d"
SID003683 "Annual Total Salary"
SID003684 "Current"
SID003685 "New"
SID003686 "Head Hunter"
SID003687 "Cost"
SID003688 "You do not have enough space to recruit any more staff into this department. If you wish to hire more people, you will have to first increase the size of your factory."
SID003689 "You do not have enough space to recruit any more staff into this department. Unfortunately, you already have the largest possible factory and so can not expand your operation any further."
SID003690 "No staff are available for hire."
SID003691 "%s agrees to join your team for %d, but you must first break your existing contract with %s. This will cost you %s payable immediately. Do you wish to proceed?"
SID003692 "%s agrees to join you for %d. Do you wish to proceed?"
SID003693 "%s agrees to join you for %d. Do you wish to proceed?"
SID003694 "%s agrees to join you immediately, but you must first break you existing contract with %s. This will cost you %s payable immediately. Do you wish to proceed?"
SID003695 "%s agrees to join you immediately. Do you wish to proceed?"
SID003696 "4000"
SID003697 "3000"
SID003698 "%d"
SID003699 "%d"
SID003700 "%d"
SID003701 "1000"
SID003702 "4000"
SID003703 "3000"
SID003704 "%d"
SID003705 "%d"
SID003706 "%d"
SID003707 "1000"
SID003708 "Start Now"
SID003709 "Start %d"
SID003710 "Start %d"
SID003711 "Driver Loyalty:"
SID003712 "-"
SID003713 "Driver Loyalty:"
SID003714 "-"
SID003715 "Sign Deal"
SID003716 "Offer Deal"
SID003717 "Offer Deal"
SID003718 "%d %s"
SID003719 "%ss"
SID003720 "Name"
SID003721 "None"
SID003722 "Ability"
SID003723 "Salary"
SID003724 "-"
SID003725 "Royalty %"
SID003726 "-"
SID003727 "%d%%"
SID003728 "Race Bonus"
SID003729 "Championship Bonus"
SID003730 "Driver Loyalty"
SID003731 "-"
SID003732 "Final Season"
SID003733 "-"
SID003734 "%d"
SID003735 "Name"
SID003736 "Team"
SID003737 "Ability"
SID003738 "Free"
SID003739 "Fired!"
SID003740 "%s"
SID003741 "%s"
SID003742 "Non-F1"
SID003743 "-"
SID003744 "Unf"
SID003745 "%d"
SID003746 "%d"
SID003747 "%d"
SID003748 "Select A Chief"
SID003749 "Job Offer: %s"
SID003750 "Salary"
SID003751 "Royalty %"
SID003752 "Race Bonus"
SID003753 "Championship Bonus"
SID003754 "Seasons"
SID003755 "Current"
SID003756 "%d%%"
SID003757 "%d"
SID003758 "%d"
SID003759 "Your Offer"
SID003760 "%d%%"
SID003761 "%d"
SID003762 "%d"
SID003763 "%d%%"
SID003764 "%d"
SID003765 "%d"
SID003766 "First"
SID003767 "Final"
SID003768 "%d"
SID003769 "%d"
SID003770 "%s refuses to work for you."
SID003771 "%s is contracted to %s for next season."
SID003772 "%s is contracted to %s for next season."
SID003773 "Not Available"
SID003774 "Team Conditions"
SID003775 "Team Conditions"
SID003776 "Sign Deal"
SID003777 "%s wants to join us. The deal is ready to sign now."
SID003778 "Commercial Manager Deal"
SID003779 "Team Manager"
SID003780 "%s wants to work for us. The deal is ready to sign now."
SID003781 "Chief Designer Deal"
SID003782 "Team Manager"
SID003783 "%s wants to start work with us. The deal is ready to sign now."
SID003784 "Technical Director Deal"
SID003785 "Team Manager"
SID003786 "%s wants to work with us. The deal is ready to sign now."
SID003787 "Chief Mechanic Deal"
SID003788 "Team Manager"
SID003789 "%s has accepted your offer and wants to sign a deal with you. %s is ready to join at the start of %d."
SID003790 "%s has accepted your offer and wants to sign a deal with you. %s is ready to join either right now or at the start of %d."
SID003791 "%s has rejected your offer. You need to improve all your terms."
SID003792 "%s is happy with some of the terms of the deal, but has refused your offer because:\n\n"
SID003793 "Your team is not a strong Championship contender.\n"
SID003794 "The department does not have enough staff to be effective.\n"
SID003795 "Your team does not have a strong financial package.\n"
SID003796 "The Salary is not high enough.\n"
SID003797 "The Sponsorship Royalty is too low.\n"
SID003798 "The Contract is too short.\n"
SID003799 "The Contract is too long.\n"
SID003800 "Your team is not a strong Championship contender.\n"
SID003801 "The department does not have enough staff to be effective.\n"
SID003802 "Your team does not have a strong financial package.\n"
SID003803 "The Salary is not high enough.\n"
SID003804 "The Championship Bonus is too low.\n"
SID003805 "The Race Bonus is not good enough.\n"
SID003806 "The contract is too short.\n"
SID003807 "The contract is too long.\n"
SID003808 "%s agrees to join your team for %d, but you must first break your existing contract with %s. This will cost you %s payable immediately. Do you wish to proceed?"
SID003809 "%s agrees to join you for %d. Do you wish to proceed?"
SID003810 "%s agrees to join your team for %d, but you must first break your existing contract with %s. This will cost you nothing because %s is a paying driver. Do you wish to proceed?"
SID003811 "%s agrees to join you immediately, but you must first break your existing contract with %s. This will cost you nothing because %s is a paying driver. Do you wish to proceed?"
SID003812 "%s agrees to join you immediately, but you must first break your existing contract with %s. This will cost you %s payable immediately. Do you wish to proceed?"
SID003813 "%s agrees to join you immediately. Do you wish to proceed?"
SID003814 "%s has signed a new contract with us."
SID003815 "New Driver Deal"
SID003816 "Team Manager"
SID003817 "%s has signed a new contract with us."
SID003818 "New Driver Deal"
SID003819 "Team Manager"
SID003820 "1"
SID003821 "1="
SID003822 "2"
SID003823 "T"
SID003824 "U"
SID003825 "1"
SID003826 "1="
SID003827 "2"
SID003828 "T"
SID003829 "U"
SID003830 "4000"
SID003831 "3000"
SID003832 "%d"
SID003833 "%d"
SID003834 "%d"
SID003835 "1000"
SID003836 "4000"
SID003837 "3000"
SID003838 "%d"
SID003839 "%d"
SID003840 "%d"
SID003841 "1000"
SID003842 "Driver retiring : %s."
SID003843 "Driver changed mind : %s."
SID003844 "Driver coming back to F1 : %s."
SID003845 "Start Now"
SID003846 "Start %d"
SID003847 "Start %d"
SID003848 "F1 Drivers"
SID003849 "Team"
SID003850 "Name"
SID003851 "Role"
SID003852 "Free"
SID003853 "Fired!"
SID003854 "Non-F1"
SID003855 "-"
SID003856 "-"
SID003857 "1"
SID003858 "1="
SID003859 "2"
SID003860 "T"
SID003861 "N/A"
SID003862 "Unf"
SID003863 "Ret"
SID003864 "%d"
SID003865 "%d"
SID003866 "%d"
SID003867 "%d"
SID003868 "Driver 1 Details"
SID003869 "Driver 2 Details"
SID003870 "Test Driver Details"
SID003871 "-"
SID003872 "-"
SID003873 "PERSONAL"
SID003874 "Age"
SID003875 "%d"
SID003876 "%d"
SID003877 "-"
SID003878 "Nationality"
SID003879 "-"
SID003880 "Salary"
SID003881 "-"
SID003882 "Race Bonus"
SID003883 "-"
SID003884 "Champ Bonus"
SID003885 "-"
SID003886 "Seasons"
SID003887 "%d"
SID003888 "%d"
SID003889 "-"
SID003890 "ABILITY"
SID003891 "Speed"
SID003892 "-"
SID003893 "-"
SID003894 "Skill"
SID003895 "-"
SID003896 "-"
SID003897 "Overtaking"
SID003898 "-"
SID003899 "-"
SID003900 "Wet Weather"
SID003901 "-"
SID003902 "-"
SID003903 "Concentration"
SID003904 "-"
SID003905 "-"
SID003906 "Experience"
SID003907 "-"
SID003908 "-"
SID003909 "Stamina"
SID003910 "-"
SID003911 "-"
SID003912 "Morale"
SID003913 "-"
SID003914 "-"
SID003915 "CAREER"
SID003916 "Championships"
SID003917 "%d"
SID003918 "%d"
SID003919 "-"
SID003920 "Races"
SID003921 "%d"
SID003922 "%d"
SID003923 "-"
SID003924 "Wins"
SID003925 "%d"
SID003926 "%d"
SID003927 "-"
SID003928 "Points"
SID003929 "%d"
SID003930 "%d"
SID003931 "-"
