SID000000 "Prêt confirmé"
SID003107 "bouton qui ressemble à ceci."
SID003108 "Si vous voulez connaître la fonction des autres boutons, amenez"
SID003109 "le pointeur sur eux et regardez la fenêtre d'information du menu"
SID003110 "située dans le coin supérieur gauche de l'écran."
SID003111 "Lorsque vous êtes prêt, choisissez un bouton et"
SID003112 "PRENEZ LE DEPART !"
SID003113 "Veuillez saisir votre nom dans la case ci-dessous, et cliquer sur le bouton OK situé dans le coin inférieur droit de l'écran."
SID003114 "PILOTES :"
SID003115 "Dir. général : %s"
SID003116 "Position en 1997 :"
SID003117 "Pts au championnat 1997 :"
SID003118 "%d"
SID003119 "Budget 1998 :"
SID003120 "%d"
SID003121 "Victoires :"
SID003122 "%d"
SID003123 "1er GP :"
SID003124 "%s %d"
SID003125 "Voulez-vous manager cette écurie ?"
SID003126 "Voulez-vous manager cette écurie ?"
SID003127 "ECURIE"
SID003128 "Dir. général"
SID003129 "PRESIDENT : Luca DI MONTEZEMOLO"
SID003130 "Résumé 1998"
SID003131 "Objectifs 1999 :"
SID003132 "Position en 1998 :"
SID003133 "Pts au championnat 1998 :"
SID003134 "Total de victoires en course :"
SID003135 "Budget 1999 :"
SID003136 "Difficulté :"
SID003137 "Effacer le message"
SID003138 "Désactiver le message de début"
SID003139 "Onglet précédent"
SID003140 "Onglet suivant"
SID003141 "Menu principal"
SID003142 "Compétition de Formule 1"
SID003143 "Nouvelle partie"
SID003144 "Poursuivre la partie"
SID003145 "Parties enregistrées"
SID003146 "Remerciments/Palmarès"
SID003147 "Quitter"
SID003148 "Sélection d'écurie"
SID003149 "Objectifs"
SID003150 "Résumé"
SID003151 "Charger une partie"
SID003152 "Enregistrer une partie"
SID003153 "Supprimer une partie"
SID003154 "Ligne précédente"
SID003155 "Ligne suivante"
SID003156 "Confirmer le nom du joueur"
SID003157 "Confirmer le choix d'écurie"
SID003158 "Choisir le type de connexion"
SID003159 "Un produit officiel du championnat du monde de Formule 1 de la FIA sous licence de Formula One Administration Limited."
SID003160 "La simulation ultime de management d'écurie de Formule 1 !"
SID003161 "Bienvenue à Grand Prix World"
SID003162 "Si vous souhaitez en savoir plus sur la Formule 1 avant de commencer"
SID003163 "votre partie, allez sur la gauche de l'écran et cliquez sur le"
SID003164 "bouton qui ressemble à ceci."
SID003165 "Si vous voulez connaître la fonction des autres boutons, amenez"
SID003166 "le pointeur sur eux et regardez la fenêtre d'information du menu"
SID003167 "située dans le coin supérieur gauche de l'écran."
SID003168 "Lorsque vous êtes prêt, choisissez un bouton et"
SID003169 "PRENEZ LE DEPART !"
SID003170 "Afficher de nouveau ce message."
SID003171 "Activer le message de départ"
SID003172 "%d%%"
SID003173 "%d%%"
SID003174 "%d%%"
SID003175 "%d%%"
SID003176 "%d%%"
SID003177 "%d%%"
SID003178 "%d%%"
SID003179 "%d%%"
SID003180 "%d%%"
SID003181 "Avancement"
SID003182 "Cash %d"
SID003183 "%d"
SID003184 "Equipe commerciale"
SID003185 "Disponible(s) %"
SID003186 "Sponsors %"
SID003187 "Invitations %"
SID003188 "Licences %"
SID003189 "Droits"
SID003190 "$"
SID003191 "Fan club %"
SID003192 "Vêtements %"
SID003193 "$$"
SID003194 "Edition %"
SID003195 "Jeux vidéo %"
SID003196 "$$$"
SID003197 "Chronomètres %"
SID003198 "Voitures %"
SID003199 "Demande"
SID003200 "Cash GP"
SID003201 "%"
SID003202 "Signer"
SID003203 "Total"
SID003204 "Licence de %s"
SID003205 "Je peux confirmer l'aboutissement de l'accord de licence de %s, et la réception du premier versement."
SID003206 "Directeur commercial"
SID003207 "Licence de %s\nOffre financière :%s\n\n"
SID003208 "Cet accord de licence durera jusqu'à la fin de la saison. Les paiements seront répartis entre les courses restantes. Voulez-vous continuer ?"
SID003209 "Département"
SID003210 "De : %s"
SID003211 "Re : %s"
SID003212 "1 sur 1"
SID003213 "%d sur %d"
SID003214 "1 sur 1"
SID003215 "Messagerie"
SID003216 "%d sur %d"
SID003217 "%d sur %d"
SID003218 "Message"
SID003219 "Directeur commercial"
SID003220 "Responsable conception"
SID003221 "Directeur technique"
SID003222 "Chef mécanicien"
SID003223 "ATTENTION - Vous avez dépensé plus que vous ne pouviez vous le permettre et êtes maintenant dans le rouge. La banque vous impose des agios de %s. Si vous êtes toujours dans le rouge à la fin du prochain tour, vous serez déclaré en faillite."
SID003224 "Vous n'avez plus de liquidités et les banques ne cautionnent plus vos dettes. Vous avez été déclaré en faillite ! Votre carrière de manager de Grand Prix est terminée."
SID003225 "Les actionnaires qui contrôlent désormais votre écurie ne sont plus satisfaits de vos performances. Vous n'êtes plus propriétaire de votre écurie et avez été renvoyé ! Votre carrière de manager de Grand Prix est terminée."
SID003226 "Recruter pilote 1"
SID003227 "Recruter pilote 2"
SID003228 "Recruter pilote d'essai"
SID003229 "Recruter directeur commercial"
SID003230 "Recruter responsable conception"
SID003231 "Recruter directeur technique"
SID003232 "Recruter chef mécanicien"
SID003233 "Si vous relancez la partie, vous perdrez toutes les modifications non sauvegardées, et retournerez au menu principal. Voulez-vous toujours le faire ?"
SID003234 "Etes-vous certain de vouloir charger cette partie enregistrée ?"
SID003235 "Etes-vous certain de vouloir écraser cette partie enregistrée ?"
SID003236 "Etes-vous certain de vouloir enregistrer la partie en cours ?"
SID003237 "Etes-vous certain de vouloir supprimer cette partie ?"
SID003238 "Vous ne pouvez plus vendre de parts en ce moment. Essayez de nouveau après la prochaine course."
SID003239 "Si vous vendez %d %% de vos parts pour %s, vous ne pourrez plus les racheter par la suite. Si vous vendez un trop grand nombre de parts, vous risquez de perdre le contrôle de l'écurie. Voulez-vous continuer ?"
SID003240 "Vous n'avez plus de parts à vendre."
SID003241 "Vous n'avez pas indiqué le nombre de parts que vous souhaitez vendre."
SID003242 "Vous ne pourrez emprunter davantage que lorsque vous aurez remboursé le prêt en cours."
SID003243 "Vous pouvez emprunter immédiatement auprès de la banque aux conditions suivantes :\nMontant : %s\nTaux d'intérêt : %d%%\nTotal à rembourser : %s\nNombre de remboursements : 16 courses\n"
SID003244 "Les remboursements commenceront après la prochaine course. Vous ne pouvez effectuer de remboursements anticipés pour diminuer le montant des intérêts. Voulez-vous continuer ?"
SID003245 "Impossible d'avoir plusieurs investissements simultanés."
SID003246 "Vous souhaitez investir selon les conditions suivantes :\nMontant : %s\nTaux d'intérêt : %d%%\nRetour total : %s\nDurée : 16 courses\n"
SID003247 "L'investissement sera immédiatement débité. Les fonds investis ne seront pas disponibles, et risquent d'être perdus. Voulez-vous continuer ?"
SID003248 "Vous ne pourrez emprunter davantage que lorsque vous aurez remboursé le prêt en cours."
SID003249 "Vous pouvez emprunter immédiatement auprès de la banque aux conditions suivantes :\nMontant : %s\nTaux d'intérêt : %d%%\nTotal à rembourser : %s\nNombre de remboursements : 32 courses\n"
SID003250 "Les remboursements commenceront après la prochaine course. Vous ne pouvez effectuer de remboursements anticipés pour diminuer le montant des intérêts. Voulez-vous continuer ?"
SID003251 "Impossible d'avoir plusieurs investissements simultanés."
SID003252 "Vous souhaitez investir selon les conditions suivantes :\nMontant : %s\nTaux d'intérêt : %d%%\nRetour total : %s\nDurée : 32 courses\n"
SID003253 "L'investissement sera immédiatement débité. Les fonds investis ne seront pas disponibles, et risquent d'être perdus. Voulez-vous continuer ?"
SID003254 "Vous ne pourrez emprunter davantage que lorsque vous aurez remboursé le prêt en cours."
SID003255 "Vous pouvez emprunter immédiatement auprès de la banque aux conditions suivantes :\nMontant : %s\nTaux d'intérêt : %d%%\nTotal à rembourser : %s\nNombre de remboursements : 48 courses\n"
SID003256 "Les remboursements commenceront après la prochaine course. Vous ne pouvez effectuer de remboursements anticipés pour diminuer le montant des intérêts. Voulez-vous continuer ?"
SID003257 "Impossible d'avoir plusieurs investissements simultanés."
SID003258 "Vous souhaitez investir selon les conditions suivantes :\nMontant : %s\nTaux d'intérêt : %d%%\nRetour total : %s\nDurée : 48 courses\n"
SID003259 "L'investissement sera immédiatement débité. Les fonds investis ne seront pas disponibles, et risquent d'être perdus. Voulez-vous continuer ?"
SID003260 "Si vous vendez votre emplacement de sponsor d'écurie à un sponsor en cash, vous ne pourrez passer d'accord avec un sponsor d'écurie avant l'expiration du contrat en question. Voulez-vous continuer ?"
SID003261 "Vous avez déjà signé un contrat de sponsor %s pour %d. Vous ne pouvez vendre cet emplacement à un sponsor en cash."
SID003262 "Ecurie"
SID003263 "Désirez-vous rendre cet emplacement de sponsor en cash disponible pour un contrat de sponsor %s ? Dans l'affirmative, tous les progrès effectués lors des négociations de sponsor en cash seront perdues. Voulez-vous continuer ?"
SID003264 "Ecurie"
SID003265 "Vous avez déjà vendu cet emplacement à un sponsor en cash. Vous ne pouvez signer de contrat avec un sponsor %s pour %d."
SID003266 "Ecurie"
SID003267 "Désirez-vous rendre cet emplacement de sponsor en cash disponible pour un contrat de sponsor %s ? "
SID003268 "Ecurie"
SID003269 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003270 "Voulez-vous utiliser votre avantage TV pour cet accord ?"
SID003271 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003272 "Voulez-vous utiliser votre avantage de succès pour l'accord ?"
SID003273 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003274 "Voulez-vous utiliser votre avantage d'invitations pour cet accord ?"
SID003275 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003276 "Voulez-vous utiliser votre avantage TV pour cet accord ?"
SID003277 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003278 "Voulez-vous utiliser votre avantage de succès pour l'accord ?"
SID003279 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003280 "Voulez-vous utiliser votre avantage d'invitations pour cet accord ?"
SID003281 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003282 "Voulez-vous utiliser votre avantage TV pour cet accord ?"
SID003283 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003284 "Voulez-vous utiliser votre avantage de succès pour l'accord ?"
SID003285 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003286 "Voulez-vous utiliser votre avantage d'invitations pour cet accord ?"
SID003287 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003288 "Voulez-vous utiliser votre avantage TV pour cet accord ?"
SID003289 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003290 "Voulez-vous utiliser votre avantage de succès pour l'accord ?"
SID003291 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003292 "Voulez-vous utiliser votre avantage d'invitations pour cet accord ?"
SID003293 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003294 "Voulez-vous utiliser votre avantage TV pour cet accord ? Cela vous aiderait à conclure plus rapidement et à de meilleures conditions."
SID003295 "En revanche, vous ne pourrez plus utiliser d'avantage TV dans le cadre d'un quelconque contrat avant d'en avoir reçu un autre. Voulez-vous continuer ?"
SID003296 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003297 "Voulez-vous utiliser votre avantage TV pour cet accord ?"
SID003298 "Vous ne pourrez utiliser un avantage vis-à-vis de ce sponsor qu'après avoir affecté du personnel en vue de commencer les négociations."
SID003299 "Voulez-vous utiliser votre avantage d'invitations pour cet accord ?"
SID003300 "Un accord avec ce sponsor rapporte un revenu annuel de %s pendant %d an(s). Voulez-vous continuer ?"
SID003301 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous en diminuerez peut-être le coût en laissant du personnel affecté à ce contrat après signature. Voulez-vous continuer ?"
SID003302 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous pouvez cependant signer un accord partenaire. Voulez-vous poursuivre sur la voie de l'accord client ?"
SID003303 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous pouvez cependant signer un accord partenaire ou usine. Voulez-vous poursuivre sur la voie de l'accord client ?"
SID003304 "Cet accord partenaire est valable pour %d an(s), et nous fournira gratuitement nos moteurs. Vous obtiendrez peut-être des bonus en laissant du personnel affecté à cet accord après signature. Voulez-vous continuer ?"
SID003305 "Cet accord partenaire est valable pour %d an(s), et nous fournira gratuitement nos moteurs. Vous pouvez cependant signer un accord usine. Voulez-vous poursuivre sur la voie de l'accord partenaire ?"
SID003306 "Cet accord usine est valable pour %d an(s), et nous fournira gratuitement nos moteurs, plus une contribution annuelle de %s. Vous obtiendrez peut-être des bonus en laissant du personnel affecté à cet accord après signature. Voulez-vous continuer ?"
SID003307 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous en diminuerez peut-être le coût en laissant du personnel affecté à ce contrat après signature. Voulez-vous continuer ?"
SID003308 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous pouvez cependant signer un accord partenaire. Voulez-vous poursuivre sur la voie de l'accord client ?"
SID003309 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous pouvez cependant signer un accord partenaire ou usine. Voulez-vous poursuivre sur la voie de l'accord client ?"
SID003310 "Cet accord partenaire est valable pour %d an(s), et nous fournira gratuitement nos pneus. Vous obtiendrez peut-être des bonus en laissant du personnel affecté à cet accord après signature. Voulez-vous continuer ?"
SID003311 "Cet accord partenaire est valable pour %d an(s), et nous fournira gratuitement nos pneus. Vous pouvez cependant signer un accord usine. Voulez-vous poursuivre sur la voie de l'accord partenaire ?"
SID003312 "Cet accord usine est valable pour %d an(s), et nous fournira gratuitement nos pneus, plus une contribution annuelle de %s. Vous obtiendrez peut-être des bonus en laissant du personnel affecté à cet accord après signature. Voulez-vous continuer ?"
SID003313 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous en diminuerez peut-être le coût en laissant du personnel affecté à ce contrat après signature. Voulez-vous continuer ?"
SID003314 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous pouvez cependant signer un accord partenaire. Voulez-vous poursuivre sur la voie de l'accord client ?"
SID003315 "Cet accord client est valable pour %d an(s), pour un coût annuel de %s. Vous pouvez cependant signer un accord partenaire ou usine. Voulez-vous poursuivre sur la voie de l'accord client ?"
SID003316 "Cet accord partenaire est valable pour %d an(s), et nous fournira gratuitement notre carburant. Vous obtiendrez peut-être des bonus en laissant du personnel affecté à cet accord après signature. Voulez-vous continuer ?"
SID003317 "Cet accord partenaire est valable pour %d an(s), et nous fournira gratuitement notre carburant. Vous pouvez cependant signer un accord usine. Voulez-vous poursuivre sur la voie de l'accord partenaire ?"
SID003318 "Cet accord usine est valable pour %d an(s), et nous fournira gratuitement notre carburant, plus une contribution annuelle de %s. Vous obtiendrez peut-être des bonus en laissant du personnel affecté à cet accord après signature. Voulez-vous continuer ?"
SID003319 "Voulez-vous affecter votre emplacement de sponsor d'écurie converti à ce sponsor en cash ? Dans ce cas, le contrat ne sera conclu que pour un an, mais le montant financier sera doublé."
SID003320 "Tous vos emplacements de sponsor en cash sont occupés. Si vous donnez à ce sponsor votre emplacement de sponsor d'écurie converti, le contrat ne durera qu'un an mais le montant financier sera doublé."
SID003321 " Dans le cas contraire, le sponsor mettra immédiatement fin aux négociations. Voulez-vous conclure cet accord ?"
SID003322 "Les emplacements de sponsor en cash sont tous occupés. Vous devez attribuer votre emplacement de sponsor d'écurie converti ou l'accord ne sera pas conclu. Voulez-vous continuer ?"
SID003323 "%s\n Un accord avec ce sponsor rapporte un revenu annuel de %s pendant %d an(s). Voulez-vous continuer ?"
SID003324 "Un accord avec ce sponsor rapporte un revenu annuel de %s pendant %d an(s). Voulez-vous continuer ?"
SID003325 "%ld"
SID003326 "%ld"
SID003327 "Vous devez emprunter un minimum de 1000"
SID003328 "Le montant du prêt doit être un multiple de 1000."
SID003329 "Nous ne sommes pas disposés à vous prêter cette somme. Nous pouvons envisager un prêt moins important."
SID003330 "Votre nouveau bilan d'emprunt sera de %s. Ce montant devra être remboursé en %ld échéances, avec pour premier remboursement %s.  Entendu ?"
SID003331 "Vous devez rembourser un minimum de 1000"
SID003332 "La banque refuse de modifier vos modalités d'emprunt, car après cette transaction le reliquat serait inférieur à 1000."
SID003333 "Votre nouveau bilan d'emprunt sera de %s. Ce montant devra être remboursé en %ld échéances, avec pour premier remboursement %s.  Entendu ?"
SID003334 "Le bilan complet de %s aura été remboursé après cette transaction. D'accord ?"
SID003335 "Vous ne pouvez plus modifier ce département avant la prochaine course."
SID003336 "Faire appel à un chasseur de têtes pour embaucher de nouveaux collaborateurs vous coûtera au moins %s. Ce montant ne sera pas remboursable. Voulez-vous continuer ?"
SID003337 "Vous ne pourrez plus modifier ce département avant la fin de la prochaine course. Voulez-vous continuer ?"
SID003338 "Les conditions émises pour votre offre non conclue seront perdues. Voulez-vous continuer ?"
SID003339 "Vous ne pourrez approcher de nouveau %s qu'après la fin de la prochaine course."
SID003340 "Vous ne pouvez faire qu'une seule offre à %s avant la prochaine course. Voulez-vous continuer ?"
SID003341 "Les conditions émises pour votre offre non conclue seront perdues. Voulez-vous continuer ?"
SID003342 "Vous ne pourrez approcher de nouveau %s qu'après la fin de la prochaine course."
SID003343 "Vous ne pouvez faire qu'une seule offre à %s avant la prochaine course. Voulez-vous continuer ?"
SID003344 "Les conditions émises pour votre offre non conclue seront perdues. Voulez-vous continuer ?"
SID003345 "%s : %s"
SID003346 "Nouveau"
SID003347 "Devrait avoir"
SID003348 "Nouveau"
SID003349 "Devrait avoir"
SID003350 "Bilan"
SID003351 "Position"
SID003352 "%d"
SID003353 "Points"
SID003354 "%d"
SID003355 "Vic. %d"
SID003356 "%d"
SID003357 "Score"
SID003358 "Année"
SID003359 "%d"
SID003360 "Pilote"
SID003361 "Rôle"
SID003362 "Pos."
SID003363 "Points"
SID003364 "Vic."
SID003365 "Pole"
SID003366 "-"
SID003367 "1"
SID003368 "1="
SID003369 "-"
SID003370 "-"
SID003371 "%d"
SID003372 "-"
SID003373 "%d"
SID003374 "-"
SID003375 "%d"
SID003376 "-"
SID003377 "%d"
SID003378 "-"
SID003379 "2"
SID003380 "1="
SID003381 "-"
SID003382 "-"
SID003383 "%d"
SID003384 "-"
SID003385 "%d"
SID003386 "-"
SID003387 "%d"
SID003388 "-"
SID003389 "%d"
SID003390 "-"
SID003391 "E"
SID003392 "-"
SID003393 "%d"
SID003394 "-"
SID003395 "%d"
SID003396 "-"
SID003397 "%d"
SID003398 "-"
SID003399 "%d"
SID003400 "-"
SID003401 "SAISON SUIVANTE %d"
SID003402 "%d COURSE %d"
SID003403 "Journée de course"
SID003404 "%d jour"
SID003405 "%d jours"
SID003406 "Vitesse de course"
SID003407 "Sélection de pilote"
SID003408 "Tri par nom de sponsor"
SID003409 "Tri par montant financier"
SID003410 "Tri par écurie en cours"
SID003411 "Tri par année libre"
SID003412 "Tri par niveau de R&D"
SID003413 "Tri par type d'accord en cours"
SID003414 "Offre suivante"
SID003415 "Accroître le personnel"
SID003416 "Réduire le personnel"
SID003417 "Retour aux invitations"
SID003418 "Tri par ordre de course"
SID003419 "Tri par prestige"
SID003420 "Circuit précédent"
SID003421 "Circuit suivant"
SID003422 "Sponsor précédent"
SID003423 "Sponsor suivant"
SID003424 "Sponsor précédent"
SID003425 "Sponsor suivant"
SID003426 "Sponsor précédent"
SID003427 "Sponsor suivant"
SID003428 "Moteur précédent"
SID003429 "Moteur suivant"
SID003430 "Sponsor précédent"
SID003431 "Sponsor suivant"
SID003432 "Sponsor précédent"
SID003433 "Sponsor suivant"
SID003434 "Pneu précédent"
SID003435 "Pneu suivant"
SID003436 "Valeur de pneu précédente"
SID003437 "Valeur de pneu suivante"
SID003438 "Sponsor précédent"
SID003439 "Sponsor suivant"
SID003440 "Sponsor précédent"
SID003441 "Sponsor suivant"
SID003442 "Sponsor précédent"
SID003443 "Sponsor suivant"
SID003444 "Sponsor précédent"
SID003445 "Sponsor suivant"
SID003446 "Résumé de course"
SID003447 "Résultats de course"
SID003448 "Abandons"
SID003449 "Meilleurs tours"
SID003450 "Tableau des tours"
SID003451 "Qualifications"
SID003452 "Points"
SID003453 "Plan du circuit"
SID003454 "Infos circuit"
SID003455 "Signer"
SID003456 "Offre suivante"
SID003457 "Position de pilote suivante"
SID003458 "Changer en cash"
SID003459 "Signer accord d'écurie"
SID003460 "Signer accord moteur"
SID003461 "Signer accord pneus"
SID003462 "Signer accord carburant"
SID003463 "Signer accord cash"
SID003464 "Afficher par montant financier"
SID003465 "Choisir traiteur"
SID003466 "Engager des célébrités"
SID003467 "Réduire le personnel"
SID003468 "Accroître le personnel"
SID003469 "Utiliser avantage TV"
SID003470 "Utiliser avantage de succès"
SID003471 "Utiliser avantage d'invitations"
SID003472 "Négociation d'accord suivante"
SID003473 "Accroître le personnel"
SID003474 "Réduire le personnel"
SID003475 "Accroître le personnel"
SID003476 "Réduire le personnel"
SID003477 "Accord client"
SID003478 "Accord partenaire"
SID003479 "Accord usine"
SID003480 "Tous sponsors"
SID003481 "Sponsors %d"
SID003482 "Sponsors %d"
SID003483 "Décliner sponsor"
SID003484 "Inviter sponsor"
SID003485 "Afficher prestige des circuits"
SID003486 "Sponsor précédent"
SID003487 "Sponsor suivant"
SID003488 "Afficher résumé sponsor"
SID003489 "Afficher livrée %d"
SID003490 "Afficher livrée %d"
SID003491 "Augmenter emprunt"
SID003492 "Diminuer emprunt"
SID003493 "Demander emprunt"
SID003494 "Augmenter investissement"
SID003495 "Diminuer investissement"
SID003496 "Investir"
SID003497 "Augmenter parts"
SID003498 "Diminuer parts"
SID003499 "Vendre des parts"
SID003500 "Résultats course suivante"
SID003501 "Résultats course précédente"
SID003502 "Tours suivants"
SID003503 "Tours précédents"
SID003504 "Pilote suivant"
SID003505 "Pilote précédent"
SID003506 "Course précédente"
SID003507 "Course suivante"
SID003508 "Afficher produits"
SID003509 "Retour aux licences"
SID003510 "Afficher tous sponsors"
SID003511 "Cacher sponsors non disponibles"
SID003512 "Liste des sponsors d'écurie"
SID003513 "Accords de sponsor d'écurie"
SID003514 "Afficher tous sponsors"
SID003515 "Cacher sponsors non disponibles"
SID003516 "Liste des sponsors moteur"
SID003517 "Données moteur"
SID003518 "Accords sponsors moteur"
SID003519 "Données moteur"
SID003520 "Liste des sponsors moteur"
SID003521 "Liste des sponsors moteur"
SID003522 "Accords sponsors moteur"
SID003523 "Liste des sponsors pneus"
SID003524 "Données pneus"
SID003525 "Accords sponsors pneus"
SID003526 "Liste des sponsors pneus"
SID003527 "Accords sponsors pneus"
SID003528 "Liste pneus"
SID003529 "Afficher tous sponsors"
SID003530 "Cacher sponsors non disponibles"
SID003531 "Liste des sponsors carburant"
SID003532 "Accords sponsors carburant"
SID003533 "Données carburant"
SID003534 "Accords sponsors carburant"
SID003535 "Liste des sponsors carburant"
SID003536 "Liste des sponsors en cash"
SID003537 "Afficher tous sponsors"
SID003538 "Cacher sponsors non disponibles"
SID003539 "Accords sponsors en cash"
SID003540 "Engager une personne"
SID003541 "Renvoyer une personne"
SID003542 "Augmenter l'offre"
SID003543 "Diminuer l'offre"
SID003544 "Cacher les pilotes non disponibles"
SID003545 "Afficher tous les pilotes"
SID003546 "Cacher chefs non disponibles"
SID003547 "Afficher tous chefs"
SID003548 "Accepter modifications de personnel"
SID003549 "Annuler modifications de personnel"
SID003550 "Engager chasseur de têtes"
SID003551 "Faire offre"
SID003552 "Retour au personnel"
SID003553 "Précédent"
SID003554 "Suivant"
SID003555 "Recruter directeur commercial"
SID003556 "Recruter responsable conception"
SID003557 "Recruter directeur technique"
SID003558 "Recruter chef mécanicien"
SID003559 "Recruter personnel"
SID003560 "Ligne précédente"
SID003561 "Ligne suivante"
SID003562 "Rejoindre la course"
SID003563 "Charger partie"
SID003564 "Enregistrer partie"
SID003565 "Supprimer partie"
SID003566 "Page suivante"
SID003567 "Page précédente"
SID003568 "Pilote suivant"
SID003569 "Pilote précédent"
SID003570 "Boîte aux lettres suivante"
SID003571 "Boîte aux lettres précédente"
SID003572 "Message suivant"
SID003573 "Message précédent"
SID003574 "Supprimer message"
SID003575 "Recruter pilote 1"
SID003576 "Recruter pilote 2"
SID003577 "Recruter pilote d'essai"
SID003578 "Pilote précédent"
SID003579 "Pilote suivant"
SID003580 "Ligne précédente"
SID003581 "Ligne suivante"
SID003582 "Augmenter l'offre"
SID003583 "Diminuer l'offre"
SID003584 "Faire offre"
SID003585 "Retour au personnel"
SID003586 "Signer accord de licence"
SID003587 "%d sur %d"
SID003588 "N/A"
SID003589 "1"
SID003590 "1="
SID003591 "2"
SID003592 "E"
SID003593 "-"
SID003594 "-"
SID003595 "%s"
SID003596 "%s"
SID003597 "%s"
SID003598 "%d"
SID003599 "%d"
SID003600 "%d"
SID003601 "%d"
SID003602 "%d"
SID003603 "%d"
SID003604 "%d"
SID003605 "%d"
SID003606 "%d"
SID003607 "%d"
SID003608 "%d"
SID003609 "%d"
SID003610 "%d"
SID003611 "%d"
SID003612 "%d"
SID003613 "%d"
SID003614 "%d"
SID003615 "%d"
SID003616 "Coût"
SID003617 "Moral"
SID003618 "Effort"
SID003619 "%d%%"
SID003620 "Dir. commercial"
SID003621 "Néant"
SID003622 "Capacité"
SID003623 "Age"
SID003624 "-"
SID003625 "%d"
SID003626 "Salaire"
SID003627 "% de royalties"
SID003628 "-"
SID003629 "%ld%%"
SID003630 "Bonus de course"
SID003631 "Bonus"
SID003632 "championnat"
SID003633 "Loyauté du pilote"
SID003634 "-"
SID003635 "Saison finale"
SID003636 "-"
SID003637 "%d"
SID003638 "Remplacement"
SID003639 "-"
SID003640 "-"
SID003641 "Capacité"
SID003642 "Qualité"
SID003643 "Standard"
SID003644 "Génies"
SID003645 "Démission"
SID003646 "Salaire"
SID003647 "%d"
SID003648 "%d"
SID003649 "%d"
SID003650 "%d"
SID003651 "%d"
SID003652 "Total"
SID003653 "%d"
SID003654 "%d"
SID003655 "%d"
SID003656 "%d"
SID003657 "%d"
SID003658 "Engager et renvoyer : %s"
SID003659 "Standard"
SID003660 "Génies"
SID003661 "Total"
SID003662 "Employer"
SID003663 "Indemnité"
SID003664 "Salaire"
SID003665 "Sous-total"
SID003666 "Qualité"
SID003667 "%d"
SID003668 "%d"
SID003669 "%d"
SID003670 "%d"
SID003671 "Total"
SID003672 "%d"
SID003673 "%d"
SID003674 "%d"
SID003675 "%d"
SID003676 "Espace de travail"
SID003677 "Capacité"
SID003678 "%d"
SID003679 "Personnel"
SID003680 "%d"
SID003681 "Pièce"
SID003682 "%d"
SID003683 "Salaire annuel total"
SID003684 "Actuel"
SID003685 "Nouveau"
SID003686 "Chasseur de têtes"
SID003687 "Coût"
SID003688 "Vous manquez d'espace pour recruter du personnel supplémentaire pour ce département. Si vous souhaitez embaucher plus de gens, vous devez d'abord agrandir votre usine."
SID003689 "Vous manquez d'espace pour recruter du personnel supplémentaire pour ce département. Malheureusement, vous possédez déjà la plus vaste usine possible et ne pouvez plus vous agrandir."
SID003690 "Pas de personnel disponible pour embauche."
SID003691 "%s accepte de rejoindre votre écurie pour %d, mais vous devez auparavant rompre le contrat avec %s. Cela vous coûtera %s payables sur-le-champ. Voulez-vous continuer?"
